"position.disgap","Type","P85LongitudinalSpeed"
-115,"Avg",89.647417206275
-105,"Avg",89.6030784840857
-95,"Avg",89.5299483703049
-85,"Avg",89.4711426319277
-75,"Avg",89.3934419016296
-65,"Avg",89.2640052620144
-55,"Avg",89.104843796814
-45,"Avg",88.9835697888921
-35,"Avg",88.8299198990658
-25,"Avg",88.6967362790687
-15,"Avg",88.551924021412
-5,"Avg",88.414370185879
5,"Avg",88.2462520403449
15,"Avg",88.0692539979011
25,"Avg",87.8154513142035
35,"Avg",87.5030014281274
45,"Avg",87.0544322977974
55,"Avg",86.6056296278409
65,"Avg",86.2501161687106
75,"Avg",85.9071854549626
85,"Avg",85.7168379063328
95,"Avg",85.5718813462594
105,"Avg",85.4337529043545
115,"Avg",85.3763680614638
125,"Avg",85.3254441717782
135,"Avg",85.3171190440842
145,"Avg",85.2776318621336
155,"Avg",85.2508751778691
165,"Avg",85.208952409853
175,"Avg",85.1556820032236
185,"Avg",85.0782467773109
195,"Avg",85.1262934139299
-195,"Min",78.1044744470901
-185,"Min",77.8309230964428
-175,"Min",77.5765996961976
-165,"Min",77.2927730552388
-155,"Min",77.0259102393255
-145,"Min",76.7525387438549
-135,"Min",76.4937064733999
-125,"Min",76.2126726722712
-115,"Min",75.9060197647507
-105,"Min",75.6720069937302
-95,"Min",75.4208168082828
-85,"Min",75.1630408416819
-75,"Min",74.9149026514433
-65,"Min",74.6640071302458
-55,"Min",74.4494410884317
-45,"Min",74.3395796536645
-35,"Min",74.232957608384
-25,"Min",74.1516715244401
-15,"Min",74.01490645481
-5,"Min",73.9440357106893
5,"Min",73.827413229813
15,"Min",73.7126109496365
25,"Min",73.5822316168479
35,"Min",73.3167493314854
45,"Min",73.0915048342074
55,"Min",72.8563177680189
65,"Min",73.3839614842902
75,"Min",74.4077632154376
85,"Min",75.4504968070779
95,"Min",76.4291313065151
105,"Min",77.4514729312885
115,"Min",78.425090940769
125,"Min",79.3156903056263
135,"Min",80.1613285389088
145,"Min",81.0459940019303
155,"Min",81.8709930511086
165,"Min",82.042621771139
175,"Min",81.5513729062328
185,"Min",81.0451817042038
195,"Min",80.5419095712242
