"Position","Acc_surge_max","Acc_surge_85","Acc_surge_median","Acc_surge_mean","Acc_surge_min","Driver_ID"
105,0.15,0.1,0.05,0.0566666666666667,-0.21,"Driver04"
115,0.2,0.1585,0.135,0.114545454545455,-0.21,"Driver04"
125,0.19,0.1455,0.065,0.0845454545454545,0.04,"Driver04"
135,0.17,0.14,0.13,0.0976190476190476,-0.33,"Driver04"
145,0.16,0.0854999999999999,0.05,0.0640909090909091,0.05,"Driver04"
155,0.2,0.1,0.05,0.0652380952380952,-0.06,"Driver04"
165,0.05,0.05,0.05,0.0490909090909091,0.03,"Driver04"
175,0.14,0.06,0.05,0.0377272727272727,-0.36,"Driver04"
185,0.14,0.14,0.12,0.102380952380952,-0.27,"Driver04"
195,0.15,0.0585,0.05,0.0531818181818182,0.04,"Driver04"
-195,0.2,0.17,0.05,0.0695238095238095,-0.1,"Driver05"
-185,0.06,0.05,0.04,0.0427272727272727,0.04,"Driver05"
-175,0.16,0.1,0.065,0.0445454545454545,-0.53,"Driver05"
-165,0.25,0.08,0.08,0.0590476190476191,-0.53,"Driver05"
-155,0.09,0.08,0.08,0.0714285714285714,0.02,"Driver05"
-145,0.07,0.07,0.07,0.0613636363636364,0.04,"Driver05"
-135,0.07,0.07,0.07,0.0638095238095238,0.05,"Driver05"
-125,0.05,0.04,0.03,0.0328571428571429,0.03,"Driver05"
-115,0.17,0.07,0.06,0.0627272727272727,0.03,"Driver05"
-105,0.06,0.06,0.05,0.0523809523809524,0.04,"Driver05"
-95,0.06,0.06,0.06,0.0481818181818182,0.02,"Driver05"
-85,0.15,0.14,0.06,0.0404761904761905,-0.52,"Driver05"
-75,0.05,0.05,0.05,0.0490909090909091,0.03,"Driver05"
-65,0.17,0.08,0.05,0.0380952380952381,-0.52,"Driver05"
-55,0.05,0.05,0.05,0.0452380952380952,0.04,"Driver05"
-45,0.05,0.04,0.04,0.0409090909090909,0.04,"Driver05"
-35,0.04,0.04,0.04,0.04,0.04,"Driver05"
-25,0.16,0.134,0.055,0.0740909090909091,0.04,"Driver05"
-15,0.04,0.03,0.03,0.0304761904761905,0.03,"Driver05"
-5,0.04,0.03,0.03,0.0304761904761905,0.03,"Driver05"
5,0.03,0.03,0.03,0.03,0.03,"Driver05"
15,0.16,0.08,0.03,0.0385714285714286,-0.1,"Driver05"
25,0.1,0.03,0.02,0.0272727272727273,0.02,"Driver05"
35,0.14,0.11,0.02,0.0504761904761905,-0.01,"Driver05"
45,0.07,0.03,0.02,0.0213636363636364,-0.07,"Driver05"
55,0.03,0.02,0.02,0.0176190476190476,-0.04,"Driver05"
65,0.12,0.057,0.02,0.03,0.01,"Driver05"
75,0.02,0.02,0.01,0.0119047619047619,0.01,"Driver05"
85,0.09,0.02,0.02,0.0204761904761905,0.01,"Driver05"
95,0.03,0.02,0.02,0.0190909090909091,0.01,"Driver05"
105,0.02,0.02,0.02,0.0195238095238095,0.01,"Driver05"
115,0.06,0.02,0.02,0.00590909090909091,-0.28,"Driver05"
125,0.02,0.02,0.02,0.0190909090909091,0.01,"Driver05"
135,0.02,0.02,0.02,0.0195238095238095,0.01,"Driver05"
145,0.08,0.04,0.02,0.020952380952381,-0.1,"Driver05"
155,0.02,0.02,0.02,0.02,0.02,"Driver05"
165,0.02,0.02,0.02,0.02,0.02,"Driver05"
175,0.02,0.02,0.02,0.0176190476190476,0.01,"Driver05"
185,0.02,0.02,0.02,0.0186363636363636,0.01,"Driver05"
195,0.02,0.02,0.02,0.02,0.02,"Driver05"
