"Position","Acc_sway_max","Acc_sway_85","Acc_sway_median","Acc_sway_mean","Acc_sway_min","Driver_ID"
125,0.11,-0.04,-0.09,-0.0785714285714286,-0.13,"Driver03"
135,-0.05,-0.08,-0.09,-0.103809523809524,-0.16,"Driver03"
145,-0.17,-0.18,-0.2,-0.197727272727273,-0.23,"Driver03"
155,-0.25,-0.26,-0.33,-0.322857142857143,-0.41,"Driver03"
165,-0.42,-0.45,-0.49,-0.480909090909091,-0.52,"Driver03"
175,-0.5,-0.5115,-0.52,-0.528636363636364,-0.64,"Driver03"
185,-0.06,-0.413,-0.52,-0.508695652173913,-0.69,"Driver03"
195,-0.04,-0.2085,-0.275,-0.2965,-0.5,"Driver03"
-195,0.24,-0.13,-0.13,-0.126363636363636,-0.27,"Driver04"
-185,-0.13,-0.1415,-0.18,-0.186363636363636,-0.26,"Driver04"
-175,0.21,-0.13,-0.22,-0.185454545454545,-0.32,"Driver04"
-165,0.25,-0.16,-0.19,-0.177272727272727,-0.28,"Driver04"
-155,-0.14,-0.14,-0.17,-0.164761904761905,-0.2,"Driver04"
-145,0.28,-0.13,-0.13,-0.123636363636364,-0.27,"Driver04"
-135,-0.16,-0.16,-0.17,-0.173181818181818,-0.2,"Driver04"
-125,-0.17,-0.18,-0.19,-0.184090909090909,-0.19,"Driver04"
-115,-0.12,-0.19,-0.19,-0.194090909090909,-0.3,"Driver04"
-105,0.11,-0.19,-0.255,-0.236363636363636,-0.37,"Driver04"
-95,0.21,-0.166,-0.19,-0.182173913043478,-0.32,"Driver04"
-85,-0.13,-0.22,-0.3,-0.305238095238095,-0.44,"Driver04"
-75,-0.18,-0.18,-0.19,-0.195238095238095,-0.23,"Driver04"
-65,-0.03,-0.25,-0.31,-0.294347826086957,-0.49,"Driver04"
-55,0.2,-0.37,-0.4,-0.371428571428571,-0.49,"Driver04"
-45,-0.34,-0.34,-0.35,-0.417391304347826,-0.56,"Driver04"
-35,-0.05,-0.2885,-0.485,-0.462,-0.69,"Driver04"
-25,0.16,-0.363,-0.465,-0.409545454545455,-0.56,"Driver04"
-15,0.16,-0.28,-0.38,-0.35,-0.53,"Driver04"
-5,-0.2,-0.2,-0.225,-0.235416666666667,-0.3,"Driver04"
5,0.15,-0.155,-0.25,-0.238947368421053,-0.39,"Driver04"
15,-0.01,-0.12,-0.13,-0.139130434782609,-0.22,"Driver04"
25,-0.06,-0.12,-0.17,-0.17047619047619,-0.26,"Driver04"
35,0.12,-0.11,-0.12,-0.14047619047619,-0.24,"Driver04"
45,0.05,-0.12,-0.14,-0.145217391304348,-0.23,"Driver04"
55,-0.01,-0.12,-0.15,-0.156666666666667,-0.33,"Driver04"
65,0.16,-0.11,-0.12,-0.127272727272727,-0.23,"Driver04"
75,0.12,-0.12,-0.16,-0.161428571428571,-0.26,"Driver04"
85,-0.12,-0.1315,-0.17,-0.169545454545455,-0.21,"Driver04"
95,-0.21,-0.22,-0.23,-0.285909090909091,-0.39,"Driver04"
