"Position","SteeringCR_max","SteeringCR_85","SteeringCR_median","SteeringCR_mean","SteeringCR_min","Driver_ID"
15,0,0,-0.00499999999999993,-0.0049944567627494,-0.0149999999999998,"Driver02"
25,0,0,0,0,0,"Driver02"
35,0.0157894736842107,0.0146341463414635,0.0102564102564106,0.00968494362772751,0,"Driver02"
45,0.0149999999999998,0.00996341463414623,0.00488095238095242,0.00450768932334441,0,"Driver02"
55,0.0150000000000009,0.0135,0,0.0045548654244307,0,"Driver02"
65,0.00999999999999986,0.00499999999999993,0,0.00238095238095235,0,"Driver02"
75,0.00999999999999986,0.00500000000000028,0,0.00304347826086957,0,"Driver02"
85,0,0,0,-0.00204545454545452,-0.00499999999999993,"Driver02"
95,0,0,0,-0.00322956117759941,-0.0100000000000006,"Driver02"
105,0,0,-0.00487804878048785,-0.00336710809753169,-0.00999999999999986,"Driver02"
115,0,-0.0047619047619049,-0.00499999999999993,-0.00485388773257832,-0.0105263157894738,"Driver02"
125,0,0,0,0,0,"Driver02"
135,0,0,0,0,0,"Driver02"
145,0,0,0,0,0,"Driver02"
155,0,0,0,0,0,"Driver02"
165,0,0,0,0,0,"Driver02"
175,0,0,0,0,0,"Driver02"
185,0,0,0,0,0,"Driver02"
195,0,0,0,0,0,"Driver02"
-195,-0.00499999999999993,-0.00499999999999993,-0.00999999999999986,-0.00976190476190486,-0.0250000000000014,"Driver03"
-185,0,0,0,-0.000226757369614519,-0.0047619047619049,"Driver03"
-175,0,0,0,0,0,"Driver03"
-165,0,0,0,0,0,"Driver03"
-155,0,0,0,0,0,"Driver03"
-145,0.00500000000000028,0.00499999999999993,0,0.00149390243902439,0,"Driver03"
-135,0.00500000000000028,0.00499999999999993,0,0.00136363636363636,0,"Driver03"
-125,0.0199004975124371,0.011439189189189,0.00493902439024389,0.00560065543953219,0,"Driver03"
-115,0.0199004975124385,0.014925373134328,0.00242718446601938,0.00576911721833489,0,"Driver03"
-105,0,0,0,0,0,"Driver03"
-95,0,0,0,0,0,"Driver03"
-85,0,0,0,-0.0033042973286876,-0.0150000000000009,"Driver03"
-75,0,0,-0.00519568151147091,-0.00659815345117023,-0.0150000000000009,"Driver03"
-65,0,0,0,-0.00162781662781659,-0.00555555555555534,"Driver03"
-55,0,0,0,0,0,"Driver03"
-45,0.00999999999999986,0.00499999999999993,0,0.00190476190476188,0,"Driver03"
-35,0.00999999999999986,0.00999999999999986,0,0.00379210220673635,0,"Driver03"
-25,0,0,0,0,0,"Driver03"
-15,0,0,0,0,0,"Driver03"
-5,0,0,-0.00243902439024392,-0.00511431337169466,-0.0157894736842107,"Driver03"
5,0.00540540540540534,0.00499999999999993,0,-0.00139909848969075,-0.0102564102564099,"Driver03"
15,0.0200000000000011,0.016216216216216,0.0149999999999998,0.0129127875530315,0.00499999999999993,"Driver03"
25,0.00500000000000028,0,0,0.000714285714285755,0,"Driver03"
35,0,0,0,0,0,"Driver03"
45,0,0,0,0,0,"Driver03"
55,0,0,0,0,0,"Driver03"
65,0,0,0,-0.000449002217294915,-0.00500000000000028,"Driver03"
75,0,-0.00499999999999993,-0.00999999999999986,-0.00810171794492347,-0.0149999999999998,"Driver03"
85,0,0,-0.00499999999999993,-0.00357142857142854,-0.00999999999999986,"Driver03"
95,0,0,0,-0.00204545454545456,-0.00999999999999986,"Driver03"
105,0,0,0,0,0,"Driver03"
115,0,0,0,0,0,"Driver03"
125,0.0053763440860213,0.00499999999999957,0,0.00213316749564922,0,"Driver03"
135,0.0107526881720442,0.00500000000000028,0.00499999999999957,0.005731347661199,0.0048543689320391,"Driver03"
145,0.00540540540540534,0.00424999999999963,0,0.000927518427518431,0,"Driver03"
155,0.0100000000000006,0.0100000000000006,0.00500000000000028,0.00690476190476192,0.00499999999999957,"Driver03"
