"position.disgap","Type","LongitudinalAcc"
-165,"Min",0
-155,"Min",0.0462735020825699
-145,"Min",-0.01611631845589
-135,"Min",0.00167281595710253
-125,"Min",-0.00109821828750963
-115,"Min",0.00281404962976229
-105,"Min",0
-95,"Min",0.143764748895823
-85,"Min",0.0123840643487341
-75,"Min",0.00730280047116259
-65,"Min",0.00866312825067406
-55,"Min",0.000238064178757594
-45,"Min",0.00942129545009393
-35,"Min",0.00363847246010747
-25,"Min",0.154889288922764
-15,"Min",0.145643734173001
-5,"Min",0.381472257351424
5,"Min",0.338642805808812
15,"Min",0.45057199169999
25,"Min",0.495022539242484
35,"Min",0.601045483524191
45,"Min",0.478608757473709
55,"Min",0.853290974300244
65,"Min",0.637580057953521
75,"Min",0.839421286651268
85,"Min",0.701093499354312
95,"Min",0.644890687763884
105,"Min",0.76154603298481
115,"Min",0.744804130857063
125,"Min",0.614227778912119
135,"Min",0.708533749058191
145,"Min",0.620788231064253
155,"Min",0.715961730787476
165,"Min",0.577508039940707
175,"Min",0.506990039067939
185,"Min",0.770876369263096
195,"Min",0.458643343438426
