"position.disgap","Type","MaxLateralSpeed"
45,"Avg",-0.0363487038587805
55,"Avg",-0.00335825818880097
65,"Avg",0.0603223980334884
75,"Avg",0.00771123470786445
85,"Avg",0.0291204929732066
95,"Avg",0.0183256363874257
105,"Avg",0.0404656868167423
115,"Avg",0.0331111601695531
125,"Avg",0.00113435640037244
135,"Avg",0.034430004264484
145,"Avg",0.0173542333583295
155,"Avg",-0.032864893475915
165,"Avg",4.63435622857972e-05
175,"Avg",-0.027123055898899
185,"Avg",-0.0108607036643815
195,"Avg",-0.0109339601571159
-195,"Min",-0.303461530116126
-185,"Min",-0.303575021836483
-175,"Min",-0.275289537750719
-165,"Min",-0.275547249516499
-155,"Min",-0.114973074069476
-145,"Min",-0.115142813815732
-135,"Min",-0.25670159986715
-125,"Min",-0.256916583286097
-115,"Min",-0.294929819806496
-105,"Min",-0.295267469475267
-95,"Min",-0.267812463623818
-85,"Min",-0.254866140835515
-75,"Min",-0.254711965778297
-65,"Min",-0.280698356044441
-55,"Min",-0.254117752719965
-45,"Min",-0.253984646621231
-35,"Min",-0.279828523561921
-25,"Min",-0.253503328132781
-15,"Min",-0.25320620371739
-5,"Min",-0.252949998221338
5,"Min",-0.488041641519255
15,"Min",-0.487667231744773
25,"Min",-0.388862155598841
35,"Min",-0.362372655796434
45,"Min",-0.15951710631575
55,"Min",-0.140243173243469
65,"Min",-0.111360622509509
75,"Min",-0.159877606907058
85,"Min",-0.13999161029274
95,"Min",-0.139965330295696
105,"Min",-0.111193521270126
115,"Min",-0.135752069851906
125,"Min",-0.139796545353202
135,"Min",-0.107964522150393
145,"Min",-0.139691960869172
155,"Min",-0.135915868349757
165,"Min",-0.110896633421873
175,"Min",-0.110905670493091
185,"Min",-0.110837985756541
195,"Min",-0.110805446514621
