"position.disgap","Type","AvgLateralSpeed"
75,"Median",0.190214264194139
85,"Median",0.180938240058871
95,"Median",0.17643396644661
105,"Median",0.185310082044108
115,"Median",0.0495875769960541
125,"Median",-0.0459636727410942
135,"Median",-0.0414263595014843
145,"Median",-0.0414042180332883
155,"Median",0.174742312981073
165,"Median",0.162551808476052
175,"Median",0.167034304414196
185,"Median",0.166502860058708
195,"Median",0.169093046362334
-195,"Avg",0.0404028029975156
-185,"Avg",0.0427112606126651
-175,"Avg",0.0170969717794772
-165,"Avg",0.0377544145113618
-155,"Avg",-0.0115703926100999
-145,"Avg",0.00148935914913649
-135,"Avg",0.0343569452647193
-125,"Avg",0.0470632305796502
-115,"Avg",0.0924079360102312
-105,"Avg",0.132170965937801
-95,"Avg",0.15670559235218
-85,"Avg",0.116605765989145
-75,"Avg",0.0464125308445236
-65,"Avg",0.0114247872699944
-55,"Avg",0.00462135847340008
-45,"Avg",0.0027734176053217
-35,"Avg",0.0108500644301308
-25,"Avg",-0.00677803918256347
-15,"Avg",-0.0154875643820073
-5,"Avg",-0.0461322468303779
5,"Avg",0.215720249655212
15,"Avg",0.222752922158774
25,"Avg",0.217983080198302
35,"Avg",0.182689356350597
45,"Avg",0.117281751047272
55,"Avg",0.0791049729399899
65,"Avg",0.0846358139387472
75,"Avg",0.0449920667998474
85,"Avg",0.0361353779641894
95,"Avg",0.0343122395723232
105,"Avg",0.0608488511763978
115,"Avg",0.0632074933758533
125,"Avg",0.0446769242679045
135,"Avg",0.0456530657417725
145,"Avg",0.0449287685827773
155,"Avg",0.0858769050940003
165,"Avg",0.0782304059183745
175,"Avg",0.0833609496276894
185,"Avg",0.0815434833729619
195,"Avg",0.0792505632991456
-195,"Min",-0.0858813194719538
-185,"Min",-0.0833297028410105
-175,"Min",-0.0864084325129628
-165,"Min",-0.0877305131016423
-155,"Min",-0.0990823287987184
-145,"Min",-0.0989861068888551
-135,"Min",-0.0908117743792297
-125,"Min",-0.0924057422150322
-115,"Min",-0.0896119626391898
-105,"Min",-0.0910873286735923
-95,"Min",-0.0951655447586264
-85,"Min",-0.0924912387716407
-75,"Min",-0.132316175765365
-65,"Min",-0.330090197321618
-55,"Min",-0.339782827382208
-45,"Min",-0.34002199809445
-35,"Min",-0.330616499881792
-25,"Min",-0.407883972330985
-15,"Min",-0.392080484434336
-5,"Min",-0.354885001789724
5,"Min",-0.0435077656205987
15,"Min",-0.0448912349666496
25,"Min",-0.0387572359759426
35,"Min",-0.0445541449414405
45,"Min",-0.0422230139131834
55,"Min",-0.0446607568872038
65,"Min",-0.0817200420379244
75,"Min",-0.191056272923513
85,"Min",-0.192782532179752
95,"Min",-0.195076494807427
105,"Min",-0.134095066364825
115,"Min",-0.0550139254856049
125,"Min",-0.0550649401621706
135,"Min",-0.0489585912224059
145,"Min",-0.0592514547541612
155,"Min",-0.0567313709516288
165,"Min",-0.058616885461341
175,"Min",-0.0500094110033117
185,"Min",-0.0573777777527386
195,"Min",-0.070471831162034
