"position.disgap","Type","MedianLateralSpeed"
15,"Min",-0.54009653668755
25,"Min",-0.539332965745653
35,"Min",-0.56112297821476
45,"Min",-0.213967767486386
55,"Min",-0.197882185758764
65,"Min",-0.197750072140038
75,"Min",-0.197638576189067
85,"Min",-0.197527232106512
95,"Min",-0.197453087216371
105,"Min",-0.197399836588108
115,"Min",-0.197325882743164
125,"Min",-0.197251996772713
135,"Min",-0.197178178753057
145,"Min",-0.197104428760541
155,"Min",-0.197025470861183
165,"Min",-0.18469797628311
175,"Min",-0.168259336664247
185,"Min",-0.17791465588502
195,"Min",-0.168174451082873
