"position.disgap","Type","MaxLongitudinalSpeed"
35,"Median",97.8484344790607
45,"Median",97.9488349352993
55,"Median",98.017062270035
65,"Median",98.1128786920938
75,"Median",98.2209122196036
85,"Median",98.3478107683313
95,"Median",98.4460954905452
105,"Median",98.5023532736213
115,"Median",98.6231747003123
125,"Median",98.721484087582
135,"Median",98.8396796162445
145,"Median",98.8898323868175
155,"Median",99.0205028734401
165,"Median",99.1016162964971
175,"Median",99.1630905055796
185,"Median",99.2325360337533
195,"Median",99.3413262212207
-195,"Avg",96.8616217397695
-185,"Avg",96.9591884035699
-175,"Avg",96.9850594605066
-165,"Avg",97.0428417550542
-155,"Avg",97.1166888479719
-145,"Avg",97.1717822159495
-135,"Avg",97.2354524570645
-125,"Avg",97.3018521998457
-115,"Avg",97.353578143931
-105,"Avg",97.4159649928151
-95,"Avg",97.4725664956402
-85,"Avg",97.5153640547344
-75,"Avg",97.5808823601564
-65,"Avg",97.669378938287
-55,"Avg",97.7361429547349
-45,"Avg",97.8000547074221
-35,"Avg",97.8690687004622
-25,"Avg",97.923143137739
-15,"Avg",97.9881821447587
-5,"Avg",98.0246986393817
5,"Avg",98.0739543957664
15,"Avg",98.1149563193158
25,"Avg",98.1637364170208
35,"Avg",98.1999332253525
45,"Avg",98.2649693786929
55,"Avg",98.2715967649484
65,"Avg",98.3055824667237
75,"Avg",98.3483184393522
85,"Avg",98.38588639606
95,"Avg",98.4082274724274
105,"Avg",98.4347632181221
115,"Avg",98.4727284876826
125,"Avg",98.5006032098016
135,"Avg",98.5369984283523
145,"Avg",98.5591947789248
155,"Avg",98.5934746439836
165,"Avg",98.6394731268607
175,"Avg",98.6502132509141
185,"Avg",98.6728136951991
195,"Avg",98.7126889955767
-195,"Min",91.6285531618763
-185,"Min",91.8383925842098
-175,"Min",91.9102066957669
-165,"Min",92.0814678933752
-155,"Min",92.2416354986347
-145,"Min",92.4018059835314
-135,"Min",92.5701347262527
-125,"Min",92.7385073031617
-115,"Min",92.9097481678295
-105,"Min",93.0913199236734
-95,"Min",93.2587138901153
-85,"Min",93.4006280430874
-75,"Min",93.5519289406128
-65,"Min",93.7269821611383
-55,"Min",93.8995789607187
-45,"Min",94.0169657188052
-35,"Min",94.2119540077013
-25,"Min",94.3112377917694
-15,"Min",94.41382108888
-5,"Min",94.3231397967857
5,"Min",94.2157754359789
15,"Min",94.1264110701424
25,"Min",94.0356069013283
35,"Min",93.9541348847457
45,"Min",93.901285082113
55,"Min",93.7934383950208
65,"Min",93.7394721319341
75,"Min",93.6851711654109
85,"Min",93.6250610437736
95,"Min",93.5643270279537
105,"Min",93.4850984294713
115,"Min",93.4280405945737
125,"Min",93.3583331417092
135,"Min",93.3189389067339
145,"Min",93.2596843715219
155,"Min",93.1902486581426
165,"Min",93.1699988477105
175,"Min",93.1114630548484
185,"Min",93.0512426599537
195,"Min",93.0404859366065
