"position.disgap","Type","AvgLongitudinalSpeed"
115,"Avg",80.3170809625471
125,"Avg",80.2659919781313
135,"Avg",80.2099574278775
145,"Avg",80.1465620865647
155,"Avg",80.0831165157888
165,"Avg",80.0216231432265
175,"Avg",79.9579482099104
185,"Avg",79.8931721424373
195,"Avg",79.8277820796265
-195,"Min",78.9750548119366
-185,"Min",78.992344906464
-175,"Min",79.008613845579
-165,"Min",79.0333001673263
-155,"Min",79.0459275680303
-145,"Min",79.0612283988529
-135,"Min",79.0792867784091
-125,"Min",79.0954301273144
-115,"Min",79.1095143716688
-105,"Min",79.128089661929
-95,"Min",79.1513697890384
-85,"Min",79.200543588357
-75,"Min",79.2550851318963
-65,"Min",79.306048369402
-55,"Min",79.3513440254813
-45,"Min",79.3388999298508
-35,"Min",79.3155266422247
-25,"Min",79.298852104648
-15,"Min",79.2812466117491
-5,"Min",79.2581360088587
5,"Min",79.2270293802296
15,"Min",79.202546828666
25,"Min",79.1670723914252
35,"Min",79.1273825541464
45,"Min",79.0816727859528
55,"Min",79.0294363218993
65,"Min",78.9703196240268
75,"Min",78.9251380977394
85,"Min",78.8980732268083
95,"Min",78.8734658595983
105,"Min",78.8306242858644
115,"Min",78.7909341240929
125,"Min",78.7473145931228
135,"Min",78.6968108342659
145,"Min",78.648065142046
155,"Min",78.588018489606
165,"Min",78.5308239795413
175,"Min",78.4683726031961
185,"Min",78.3978246076147
195,"Min",78.3145586756356
