"position.disgap","Type","MedianLateralSpeed"
-85,"Median",-0.0839141335950531
-75,"Median",0.190145827048943
-65,"Median",0.820262454760718
-55,"Median",0.339256252585881
-45,"Median",0.361072094860513
-35,"Median",-0.041556058485788
-25,"Median",0.0974828255945323
-15,"Median",0.111794219528365
-5,"Median",0.248079198394057
5,"Median",0.298114916119446
15,"Median",0.0341076846288997
25,"Median",-0.0593083502235763
35,"Median",-0.0576805577476691
45,"Median",-0.0201455549218789
55,"Median",0.0412704954427772
65,"Median",0.0548989790843554
75,"Median",-0.0016097119807049
85,"Median",-0.0321402939680061
95,"Median",-0.0830045443420919
105,"Median",-0.0833301777568732
115,"Median",-0.143735864239427
125,"Median",-0.0262936333383084
135,"Median",0.294593778970472
145,"Median",0.174036515452871
155,"Median",0.101544166831226
165,"Median",0.0134146805352273
175,"Median",-0.0706662647074515
185,"Median",-0.116643464850059
195,"Median",-0.0925646674854912
-195,"Avg",0.217932272311685
-185,"Avg",0.145615012927454
-175,"Avg",0.0769866855402573
-165,"Avg",0.110618341253744
-155,"Avg",0.138272078930785
-145,"Avg",0.222057811076474
-135,"Avg",0.317729612555518
-125,"Avg",0.502565904420103
-115,"Avg",0.620003662833268
-105,"Avg",0.827784988752776
-95,"Avg",0.973257953310202
-85,"Avg",0.552037893561911
-75,"Avg",0.52390824622185
-65,"Avg",0.609818179965129
-55,"Avg",0.415013889906959
-45,"Avg",0.381982733791464
-35,"Avg",0.24147617473259
-25,"Avg",0.427958259291748
-15,"Avg",0.327574904363445
-5,"Avg",0.305075838586333
5,"Avg",0.351148272863195
15,"Avg",0.0827893568410918
25,"Avg",-0.0577651727230077
35,"Avg",-0.0622928491592999
45,"Avg",-0.0143892557305487
55,"Avg",0.0395932952995061
65,"Avg",0.0384241102219456
75,"Avg",-0.00970029426758756
85,"Avg",-0.0538652935835034
95,"Avg",-0.0881122462382671
105,"Avg",-0.0888417649972246
115,"Avg",-0.0786832382003961
125,"Avg",0.0555468188060251
135,"Avg",0.259346150016681
145,"Avg",0.195017183937808
155,"Avg",0.0984521967125514
165,"Avg",-0.00149672027357286
175,"Avg",-0.0489405997344603
185,"Avg",-0.0944711005659074
195,"Avg",-0.125137849351223
-195,"Min",-0.102439241637647
-185,"Min",-0.212838335054079
-175,"Min",-0.272807897356025
-165,"Min",-0.151000589458318
-155,"Min",-0.0761511844941936
-145,"Min",-0.0469733306061601
-135,"Min",-0.327635165957048
-125,"Min",-0.438172959693382
-115,"Min",-0.520958585470853
-105,"Min",-0.129903732854115
-95,"Min",0.177759077585338
-85,"Min",-0.471404902264642
-75,"Min",-0.59616239568668
-65,"Min",-0.689772687413215
-55,"Min",-0.567998704334827
-45,"Min",-0.540394236577061
-35,"Min",-0.37902414364926
-25,"Min",-0.103867993371136
-15,"Min",-0.136067027199064
-5,"Min",-0.0848338242981475
5,"Min",0.18834297395867
15,"Min",0.0222200885371426
25,"Min",-0.163304536093211
35,"Min",-0.158032967164095
45,"Min",-0.118557091033669
55,"Min",-0.0925116347525429
65,"Min",-0.108492427799706
75,"Min",-0.167174529546092
85,"Min",-0.225199541783334
95,"Min",-0.250920256066529
105,"Min",-0.184870450521366
115,"Min",-0.170060207507988
125,"Min",-0.0987720154878158
135,"Min",0.157062541819045
145,"Min",0.0647509423755811
155,"Min",-0.0814136223112114
165,"Min",-0.261892409836979
175,"Min",-0.208100954745854
185,"Min",-0.174191751274046
195,"Min",-0.230651031348735
