"position.disgap","Type","LongitudinalAccRate"
-85,"Avg",47.3875972322689
-75,"Avg",57.5659414565276
-65,"Avg",114.9514538446
-55,"Avg",209.957094713437
-45,"Avg",171.015209737528
-35,"Avg",430.372172920322
-25,"Avg",77.7518623214819
-15,"Avg",153.393962817701
-5,"Avg",141.182295889418
5,"Avg",112.269482718902
15,"Avg",139.175013459411
25,"Avg",126.861179951488
35,"Avg",85.3911789722885
45,"Avg",68.5363621587347
55,"Avg",45.6048703274797
65,"Avg",81.3734510023718
75,"Avg",80.1109779315762
85,"Avg",52.9704215346592
95,"Avg",115.960868139867
105,"Avg",130.268284747705
115,"Avg",188.684059768577
125,"Avg",71.3655532278008
135,"Avg",102.0181477947
145,"Avg",65.1760035752323
155,"Avg",104.512693582913
165,"Avg",85.176963763644
175,"Avg",129.933155251347
185,"Avg",65.0500122507793
195,"Avg",127.658758993983
-195,"Min",26.266959396345
-185,"Min",11.331583255217
-175,"Min",4.91868944873082
-165,"Min",13.2958411467253
-155,"Min",15.9979133593483
-145,"Min",44.4113857720462
-135,"Min",40.7104651428399
-125,"Min",19.7115862113083
-115,"Min",19.9984726393731
-105,"Min",9.97848753530748
-95,"Min",15.9965757196808
-85,"Min",2.71835328307975
-75,"Min",13.7527339088189
-65,"Min",31.4922235655916
-55,"Min",54.5096703598154
-45,"Min",45.9009994657493
-35,"Min",45.1162181250153
-25,"Min",18.1095067739001
-15,"Min",1.40604083498135
-5,"Min",54.5925027530434
5,"Min",11.8058070551795
15,"Min",33.2711278636502
25,"Min",0.541563494239357
35,"Min",25.9422656230043
45,"Min",11.3261216498223
55,"Min",9.52380102750342
65,"Min",16.0651001733752
75,"Min",1.27223178984567
85,"Min",18.7818870038558
95,"Min",12.6943966519385
105,"Min",13.614243876628
115,"Min",34.9165604099748
125,"Min",11.1022007115998
135,"Min",12.3533276158019
145,"Min",11.3575271888036
155,"Min",11.1071708077788
165,"Min",6.28315078156257
175,"Min",13.361483989659
185,"Min",11.1011645691292
195,"Min",33.2461447345753
