"position.disgap","Type","AvgLongitudinalSpeed"
195,"P85",87.7734886026294
-195,"Median",91.1151317519109
-185,"Median",90.9161448955282
-175,"Median",90.6786367656017
-165,"Median",90.6121530570774
-155,"Median",90.5278702598079
-145,"Median",90.4515802050523
-135,"Median",90.4860964469186
-125,"Median",90.6439352567536
-115,"Median",90.8533238206838
-105,"Median",91.1004816729934
-95,"Median",91.3431551329982
-85,"Median",91.5695519134367
-75,"Median",91.6946821616249
-65,"Median",91.6712423551364
-55,"Median",91.6108650101519
-45,"Median",91.5424538044634
-35,"Median",91.4675067331985
-25,"Median",91.3817089486049
-15,"Median",91.2873761735605
-5,"Median",91.2238713341376
5,"Median",90.8254287032447
15,"Median",90.3346311196764
25,"Median",89.8566469961927
35,"Median",89.2823087112786
45,"Median",88.5419685573477
55,"Median",87.8179241146356
65,"Median",86.8610360130036
75,"Median",85.9333141762295
85,"Median",85.4123612598821
95,"Median",84.9415166537393
105,"Median",84.4615845890385
115,"Median",83.9958245715679
125,"Median",83.5432363586397
135,"Median",83.1865406317133
145,"Median",83.1808531287223
155,"Median",83.2249355190744
165,"Median",83.4789643294033
175,"Median",84.1013891249928
185,"Median",84.7226539422541
195,"Median",85.3597084993464
-195,"Avg",90.6883013462395
-185,"Avg",90.5381962643728
-175,"Avg",90.3822035937871
-165,"Avg",90.2190811410972
-155,"Avg",90.0430236686131
-145,"Avg",89.8661620436271
-135,"Avg",89.7297789945928
-125,"Avg",89.6437162096848
-115,"Avg",89.5666240490643
-105,"Avg",89.5137218475143
-95,"Avg",89.4493526728617
-85,"Avg",89.3868121900072
-75,"Avg",89.2936356482911
-65,"Avg",89.1531310959756
-55,"Avg",89.0131473393147
-45,"Avg",88.8823659836861
-35,"Avg",88.7417801760367
-25,"Avg",88.6017715537073
-15,"Avg",88.4631828489233
-5,"Avg",88.3236748939541
5,"Avg",88.1530519657127
15,"Avg",87.9801912384624
25,"Avg",87.7068545702378
35,"Avg",87.3593569352991
45,"Avg",86.9076464909152
55,"Avg",86.4701318390585
65,"Avg",86.0343026989992
75,"Avg",85.7314253924598
85,"Avg",85.5596035644152
95,"Avg",85.4206998077335
105,"Avg",85.2801821965202
115,"Avg",85.2093713432057
125,"Avg",85.1607001074047
135,"Avg",85.1518893971649
145,"Avg",85.1207083266211
155,"Avg",85.0932751952546
165,"Avg",85.0475849904254
175,"Avg",84.9930563350409
185,"Avg",84.9454356723986
195,"Avg",84.9857911192834
-195,"Min",78.0221911482373
-185,"Min",77.7518472608753
-175,"Min",77.4841143490399
-165,"Min",77.197925012167
-155,"Min",76.9210468077713
-145,"Min",76.6561371630943
-135,"Min",76.3991670656801
-125,"Min",76.1547442546246
-115,"Min",75.8291002095171
-105,"Min",75.6023610619185
-95,"Min",75.3423940664853
-85,"Min",75.073574657583
-75,"Min",74.8256506074824
-65,"Min",74.5774388079512
-55,"Min",74.4270908568829
-45,"Min",74.3193901169924
-35,"Min",74.2101998913629
-25,"Min",74.1085362528637
-15,"Min",73.9973914428516
-5,"Min",73.8977754025547
5,"Min",73.7808684641538
15,"Min",73.6759927962143
25,"Min",73.4860065872463
35,"Min",73.2468182112308
45,"Min",73.004697088654
55,"Min",72.8259907375642
65,"Min",73.0828383815523
75,"Min",74.0823133145828
85,"Min",75.107653091224
95,"Min",76.1235929045151
105,"Min",77.1420128832005
115,"Min",78.1029067973286
125,"Min",79.0108001303456
135,"Min",79.9090844719745
145,"Min",80.754898611217
155,"Min",81.6121844879657
165,"Min",81.899980455654
175,"Min",81.3853440635232
185,"Min",80.8679627474743
195,"Min",80.3624132895993
