"Position","Brake_pedal_max","Brake_pedal_85","Brake_pedal_median","Brake_pedal_mean","Brake_pedal_min","Driver_ID"
195,0,0,0,0,0,"Driver02"
-195,0,0,0,0,0,"Driver03"
-185,0,0,0,0,0,"Driver03"
-175,0,0,0,0,0,"Driver03"
-165,0,0,0,0,0,"Driver03"
-155,0,0,0,0,0,"Driver03"
-145,0,0,0,0,0,"Driver03"
-135,0,0,0,0,0,"Driver03"
-125,0,0,0,0,0,"Driver03"
-115,0,0,0,0,0,"Driver03"
-105,0,0,0,0,0,"Driver03"
-95,0,0,0,0,0,"Driver03"
-85,0,0,0,0,0,"Driver03"
-75,0,0,0,0,0,"Driver03"
-65,0,0,0,0,0,"Driver03"
-55,0,0,0,0,0,"Driver03"
-45,0,0,0,0,0,"Driver03"
-35,0,0,0,0,0,"Driver03"
-25,0,0,0,0,0,"Driver03"
-15,0,0,0,0,0,"Driver03"
-5,0,0,0,0,0,"Driver03"
5,0,0,0,0,0,"Driver03"
15,0,0,0,0,0,"Driver03"
25,0,0,0,0,0,"Driver03"
35,0,0,0,0,0,"Driver03"
45,0,0,0,0,0,"Driver03"
55,0,0,0,0,0,"Driver03"
65,0,0,0,0,0,"Driver03"
75,0,0,0,0,0,"Driver03"
85,0,0,0,0,0,"Driver03"
95,0,0,0,0,0,"Driver03"
105,0,0,0,0,0,"Driver03"
115,0,0,0,0,0,"Driver03"
125,0,0,0,0,0,"Driver03"
135,0,0,0,0,0,"Driver03"
145,0,0,0,0,0,"Driver03"
155,0,0,0,0,0,"Driver03"
165,0,0,0,0,0,"Driver03"
175,0,0,0,0,0,"Driver03"
185,0,0,0,0,0,"Driver03"
195,0,0,0,0,0,"Driver03"
-195,0,0,0,0,0,"Driver04"
-185,0,0,0,0,0,"Driver04"
-175,0,0,0,0,0,"Driver04"
-165,0,0,0,0,0,"Driver04"
-155,0,0,0,0,0,"Driver04"
-145,0,0,0,0,0,"Driver04"
-135,0,0,0,0,0,"Driver04"
-125,0,0,0,0,0,"Driver04"
-115,0,0,0,0,0,"Driver04"
-105,0,0,0,0,0,"Driver04"
-95,0,0,0,0,0,"Driver04"
-85,0,0,0,0,0,"Driver04"
-75,0,0,0,0,0,"Driver04"
-65,0,0,0,0,0,"Driver04"
-55,0,0,0,0,0,"Driver04"
-45,0,0,0,0,0,"Driver04"
-35,0,0,0,0,0,"Driver04"
-25,0,0,0,0,0,"Driver04"
-15,0,0,0,0,0,"Driver04"
-5,0,0,0,0,0,"Driver04"
5,0,0,0,0,0,"Driver04"
15,0,0,0,0,0,"Driver04"
25,0,0,0,0,0,"Driver04"
35,0,0,0,0,0,"Driver04"
45,0,0,0,0,0,"Driver04"
55,0,0,0,0,0,"Driver04"
65,0,0,0,0,0,"Driver04"
75,0,0,0,0,0,"Driver04"
85,0,0,0,0,0,"Driver04"
95,0,0,0,0,0,"Driver04"
105,0,0,0,0,0,"Driver04"
115,0,0,0,0,0,"Driver04"
125,0,0,0,0,0,"Driver04"
135,0,0,0,0,0,"Driver04"
145,0,0,0,0,0,"Driver04"
155,0,0,0,0,0,"Driver04"
165,0,0,0,0,0,"Driver04"
175,0,0,0,0,0,"Driver04"
185,0,0,0,0,0,"Driver04"
195,0,0,0,0,0,"Driver04"
-195,0,0,0,0,0,"Driver05"
-185,0,0,0,0,0,"Driver05"
-175,0,0,0,0,0,"Driver05"
-165,0,0,0,0,0,"Driver05"
-155,0,0,0,0,0,"Driver05"
-145,0,0,0,0,0,"Driver05"
-135,0,0,0,0,0,"Driver05"
-125,0,0,0,0,0,"Driver05"
-115,0,0,0,0,0,"Driver05"
-105,0,0,0,0,0,"Driver05"
-95,0,0,0,0,0,"Driver05"
-85,0,0,0,0,0,"Driver05"
-75,0,0,0,0,0,"Driver05"
-65,0,0,0,0,0,"Driver05"
-55,0,0,0,0,0,"Driver05"
-45,0,0,0,0,0,"Driver05"
-35,0,0,0,0,0,"Driver05"
-25,0,0,0,0,0,"Driver05"
-15,0,0,0,0,0,"Driver05"
-5,0,0,0,0,0,"Driver05"
5,0,0,0,0,0,"Driver05"
15,0,0,0,0,0,"Driver05"
25,0,0,0,0,0,"Driver05"
35,0,0,0,0,0,"Driver05"
45,0,0,0,0,0,"Driver05"
55,0,0,0,0,0,"Driver05"
65,0,0,0,0,0,"Driver05"
75,0,0,0,0,0,"Driver05"
85,0,0,0,0,0,"Driver05"
95,0,0,0,0,0,"Driver05"
105,0,0,0,0,0,"Driver05"
115,0,0,0,0,0,"Driver05"
125,0,0,0,0,0,"Driver05"
135,0,0,0,0,0,"Driver05"
145,0,0,0,0,0,"Driver05"
155,0,0,0,0,0,"Driver05"
165,0,0,0,0,0,"Driver05"
175,0,0,0,0,0,"Driver05"
185,0,0,0,0,0,"Driver05"
195,0,0,0,0,0,"Driver05"
